line,p,logit,y,p_uncalibrated,p_platt,p_beta,p_isotonic
2,0.6315081119537354,,0,0.6315081119537354,0.3685217699495902,0.36451202571148006,0.3953488372093023
2,0.00014580486458726227,,0,0.00014580486458726227,0.04378002903531045,0.15690636302670338,0.3953488372093023
2,0.998753547668457,,0,0.998753547668457,0.7194900694125224,0.569948790229717,0.5901689107491075
2,0.9998595714569092,,0,0.9998595714569092,0.7203890766385804,0.6416234666358788,0.6772538955182559
2,0.8205054998397827,,0,0.8205054998397827,0.5556070654921357,0.3951069120277171,0.4334206014438665
2,0.8475080728530884,,0,0.8475080728530884,0.5822968040198178,0.40140245574421446,0.45716620605657576
2,0.9993919134140015,,0,0.9993919134140015,0.7200091662020475,0.5940055302133099,0.6351924917246085
2,0.6438235640525818,,0,0.6438235640525818,0.38014903362616864,0.3661257512797247,0.3953488372093023
2,0.6401475667953491,,1,0.6401475667953491,0.3766633420461223,0.3656409441667212,0.3953488372093023
2,1.6039222145991516e-06,,0,1.6039222145991516e-06,0.04375569926647143,0.09853225691166448,0.3953488372093023
2,0.9759446382522583,,0,0.9759446382522583,0.7005635241414057,0.4678746505361563,0.5701111427587284
2,0.8414474725723267,,0,0.8414474725723267,0.5763424928678205,0.39991037917843986,0.45183661698698124
2,0.9979506134986877,,0,0.9979506134986877,0.7188363182491062,0.5530689512603855,0.5894628240618878
2,0.9999682903289795,,0,0.9999682903289795,0.7204773511742956,0.6872590085647242,0.7032297656369274
2,0.9387633204460144,,0,0.9387633204460144,0.6682080815798718,0.4348903071800948,0.5374145226562107
2,0.7593445181846619,,0,0.7593445181846619,0.49419787233987844,0.3833358820757785,0.3953488372093023
2,1.523798005109711e-06,,0,1.523798005109711e-06,0.04375568575139865,0.09799640480041623,0.3953488372093023
2,0.00016874572611413896,,0,0.00016874572611413896,0.04378390083703368,0.15920141583997302,0.3953488372093023
2,0.023408759385347366,,0,0.023408759385347366,0.04787836950965348,0.25371888150017086,0.3953488372093023
2,0.0022336046677082777,,0,0.0022336046677082777,0.044133734830827456,0.204388766224986,0.3953488372093023
2,0.9999319314956665,,0,0.9999319314956665,0.7204478314351365,0.6642172421709339,0.6890643326732789
2,1e-06,,0,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,0.9956986904144287,,1,0.9956986904144287,0.7169978562476269,0.5276530408800006,0.587482521105177
2,5.218164369580336e-05,,0,5.218164369580336e-05,0.043764231335424654,0.1415228591541838,0.3953488372093023
2,1e-06,,0,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,1e-06,,0,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,0.9825647473335266,,0,0.9825647473335266,0.7061318483404705,0.4791219449593441,0.5759327543754934
2,0.0001160763786174357,,0,0.0001160763786174357,0.04377501215075413,0.15337901466162157,0.3953488372093023
2,1e-06,,0,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,1e-06,,1,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,4.5388267608359456e-05,,1,4.5388267608359456e-05,0.043763085253329476,0.1395348092589088,0.3953488372093023
2,1e-06,,1,1e-06,0.04375559739907246,0.09368972562743025,0.3953488372093023
2,0.00010785090125864372,,1,0.00010785090125864372,0.04377362414230115,0.15225597848362046,0.3953488372093023
2,0.9998534917831421,,1,0.9998534917831421,0.7203841397300541,0.6402802419405976,0.6767070865471939
3,0.9999054670333862,,1,0.9999054670333862,0.7204263437368043,0.6540562016435035,0.6813817671625471
3,0.9999918937683105,,1,0.9999918937683105,0.720496513786941,0.7261463109947073,0.7404295051353875
